"","sum.water","sum.dst011","sum.dst040","sum.dst130","sum.dst140","sum.dst150","sum.dst160","sum.dst190","sum.dst200","sum.topo","sum.slope","sum.ntl","sum.pop19","sum.alb_srtm_topo_100m.2","sum.alb_srtm_slope_100m.2","sum.alb_viirs_100m_2015.2","sum.alb_ppp_2019.2","mean.water","mean.dst011","mean.dst040","mean.dst130","mean.dst140","mean.dst150","mean.dst160","mean.dst190","mean.dst200","mean.topo","mean.slope","mean.ntl","mean.pop19","mean.alb_srtm_topo_100m.2","mean.alb_srtm_slope_100m.2","mean.alb_viirs_100m_2015.2","mean.alb_ppp_2019.2"
"117",143985.328125,14508.4501953125,-4005.03271484375,59287.5078125,32416.48828125,108351.90625,445752.25,100501.0546875,92190.1640625,25012082,436674.46875,6301.53271484375,6808.27001953125,25012082,436674.46875,6301.53271484375,6808.27001953125,5.30954933166504,0.535008251667023,-0.1476881057024,2.18626403808594,1.19537842273712,3.99554467201233,16.4373950958252,3.70603966712952,3.39957022666931,922.336242675781,16.1026458740234,0.232372984290123,0.251059234142303,922.336242675781,16.1026458740234,0.232372984290123,0.251059234142303
"118",88844.953125,1278.34582519531,7084.595703125,31419.376953125,24939.98828125,235185.859375,314144.25,68330.6953125,50349.32421875,17124536,284172.96875,4179.50048828125,6774.5595703125,17124536,284172.96875,4179.50048828125,6774.5595703125,4.64435958862305,0.0668253749608994,0.370346397161484,1.64244425296783,1.3037348985672,12.2943124771118,16.421854019165,3.57197904586792,2.63200497627258,895.18310546875,14.8551082611084,0.2184828966856,0.354213356971741,895.18310546875,14.8551082611084,0.2184828966856,0.354213356971741
"119",39626.4921875,1213.3720703125,2377.7041015625,11796.208984375,8572.0771484375,145572.15625,165879.234375,32371.642578125,47007.17578125,10500013,131653.859375,2795.119140625,6905.34619140625,10500013,131653.859375,2795.119140625,6905.34619140625,3.84307527542114,0.117675825953484,0.230595618486404,1.14402556419373,0.831341207027435,14.1179475784302,16.0873775482178,3.13948202133179,4.55887222290039,1018.31719970703,12.7681169509888,0.271077573299408,0.670273959636688,1018.31719970703,12.7681169509888,0.271077573299408,0.670273959636688
"120",138522.015625,6868.255859375,-4092.8681640625,83185.6875,33156.84375,167143.09375,237524.515625,178326.5,104060.0390625,24129796,294711.3125,3148.07666015625,1868.79089355469,24129796,294711.3125,3148.07666015625,1868.79089355469,7.50441265106201,0.372086882591248,-0.221730604767799,4.50657415390015,1.79626774787903,9.05495548248291,12.8678598403931,9.66081523895264,5.63743925094604,1307.22863769531,15.9659481048584,0.170546650886536,0.101241506636143,1307.22863769531,15.9659481048584,0.170546650886536,0.101241506636143
"121",5594.12060546875,-3987.99536132812,18468.12890625,28741.05078125,12151.8369140625,39805.77734375,53316.6484375,7551.6689453125,8098.29638671875,243133.640625,19784.091796875,3090.58984375,4424.52587890625,243133.640625,19784.091796875,3090.58984375,4424.52587890625,1.1859747171402,-0.845470130443573,3.91531324386597,6.09321165084839,2.57623529434204,8.43897533416748,11.3033313751221,1.60098242759705,1.71686947345734,51.5452499389648,4.19430208206177,0.655216753482819,0.939473748207092,51.5452499389648,4.19430208206177,0.655216753482819,0.939473748207092
"122",11948.970703125,-3818.8212890625,14319.923828125,14339.501953125,6187.2236328125,18096.197265625,32948.7578125,15163.9111328125,6847.93994140625,757802.0625,49211.671875,2385.09765625,1055.74401855469,757802.0625,49211.671875,2385.09765625,1055.74401855469,2.34320092201233,-0.748873293399811,2.80814623832703,2.8119854927063,1.21331858634949,3.54867601394653,6.46127271652222,2.97365260124207,1.34288537502289,148.60546875,9.65044021606445,0.467719167470932,0.207161352038383,148.60546875,9.65044021606445,0.467719167470932,0.207161352038383
"123",18914.193359375,-2872.9208984375,8977.095703125,12608.7236328125,17013.662109375,66111.6328125,75587.90625,20513.021484375,13821.5810546875,2750872.75,108507.75,2724.92309570312,5713.7861328125,2750872.75,108507.75,2724.92309570312,5713.7861328125,1.98249518871307,-0.301125824451447,0.940936207771301,1.32158613204956,1.78329062461853,6.92950487136841,7.92276287078857,2.1500768661499,1.44871199131012,288.333312988281,11.3732633590698,0.285613387823105,0.599645972251892,288.333312988281,11.3732633590698,0.285613387823105,0.599645972251892
"124",256.582733154297,-43.3127174377441,3543.341796875,3959.36352539062,1424.6708984375,4277.40869140625,7096.51904296875,211.147644042969,293.551147460938,24814.44140625,2127.87255859375,2652.04028320312,5681.07177734375,24814.44140625,2127.87255859375,2652.04028320312,5681.07177734375,0.370043575763702,-0.0624655932188034,5.11020708084106,5.71019315719604,2.0546600818634,6.16887807846069,10.23459815979,0.304517090320587,0.423359423875809,35.7873840332031,3.06881737709045,3.82477211952209,8.28756618499756,35.7873840332031,3.06881737709045,3.82477211952209,8.28756618499756
"125",21831.853515625,-3190.09350585938,11397.31640625,14150.75,8599.0654296875,20565.283203125,46008.92578125,16499.005859375,9688.9462890625,1478752.375,62511.42578125,2719.04858398438,2528.31811523438,1478752.375,62511.42578125,2719.04858398438,2528.31811523438,3.39244794845581,-0.495708078145981,1.77102696895599,2.19888257980347,1.33620727062225,3.19563579559326,7.14931917190552,2.56377768516541,1.50556373596191,229.783081054688,9.71363925933838,0.422512501478195,0.392874926328659,229.783081054688,9.71363925933838,0.422512501478195,0.392874926328659
"126",3427.73071289062,-3767.86767578125,10707.3837890625,11793.724609375,6810.6884765625,36602.37890625,52853.390625,9927.3828125,6888.109375,386636.5,25327.208984375,1398.49475097656,2451.02734375,386636.5,25327.208984375,1398.49475097656,2451.02734375,0.888480186462402,-0.976644933223724,2.77539253234863,3.0569760799408,1.76535499095917,9.48746871948242,13.6997900009155,2.57321357727051,1.78542280197144,100.217575073242,6.56490421295166,0.362494885921478,0.63779491186142,100.217575073242,6.56490421295166,0.362494885921478,0.63779491186142
"127",22634.09765625,-10492.2880859375,30683.916015625,26188.0234375,68285.15625,55219.0234375,142165.65625,35756.51171875,31673.654296875,1306582.5,82587.875,5949.724609375,9614.384765625,1306582.5,82587.875,5949.724609375,9614.384765625,1.72514033317566,-0.799708008766174,2.33868670463562,1.99601578712463,5.20460224151611,4.20871925354004,10.8356742858887,2.72531294822693,2.41412305831909,99.5859527587891,6.29473638534546,0.45347997546196,0.734029650688171,99.5859527587891,6.29473638534546,0.45347997546196,0.734029650688171
